wavelength,ellipticity_0,ellipticity_1,ellipticity_2,ellipticity_3,ellipticity_4,ellipticity_5,ellipticity_6
260,-2.37431264762108e-05,-1.7325798193207318e-05,-5.9915457621742905e-06,3.997850398624525e-06,1.0012879881160995e-06,1.590816805608051e-05,3.078200338271033e-06
259,6.567247748739568e-06,-2.4751140276009224e-06,-3.4950683612684083e-06,3.997850398624525e-06,-1.501931982173715e-06,3.479911762267558e-06,5.130333897115422e-07
258,-1.616553291997277e-05,2.4751140276010084e-05,-3.345279717213986e-05,-8.495432097080366e-06,-1.1514811863333843e-05,-8.948344531544532e-06,1.0773701183949506e-05
257,4.04138322999385e-06,-9.90045611040369e-06,4.14415248550392e-05,-9.994625996574317e-07,1.1014167869276226e-05,-6.462693272782115e-06,-1.2312801353086802e-05
256,2.9300028417451905e-05,4.950228055201845e-06,1.497886440543356e-06,1.4991938994835467e-06,1.0012879881160995e-06,-3.977042014019696e-06,-2.0521335588479488e-06
255,2.1722434861213875e-05,3.960182444161648e-05,7.139925366591152e-05,3.997850398624525e-06,1.1014167869276226e-05,1.3422516797318093e-05,3.129503677242632e-05
254,1.9196570342468156e-05,1.7325798193207318e-05,2.646266044960391e-05,1.3992476395189306e-05,2.35302677207253e-05,3.827902938494314e-05,1.3338868132508995e-05
253,4.4455215529926216e-05,4.702716652441925e-05,4.393800225594508e-05,1.3992476395189306e-05,2.6033487691015115e-05,2.087947057360535e-05,6.720737405226098e-05
252,1.1618976786231004e-05,9.900456110404549e-06,1.1483796044167751e-05,8.995163396907349e-06,8.510947898985544e-06,6.064989071380576e-05,1.3338868132508995e-05
251,2.4248299379959593e-05,4.702716652441925e-05,5.14274344586636e-05,3.997850398624525e-06,2.6033487691015115e-05,1.590816805608051e-05,6.977254100082046e-05
250,2.6774163898706186e-05,5.69276226348238e-05,6.640629886409889e-05,-9.994625996574317e-07,3.854958754246506e-05,2.3365121832367766e-05,3.64253706695453e-05
249,3.940348649243478e-05,4.702716652441925e-05,3.894504745413332e-05,-1.0994088596221346e-05,1.6020607809855854e-05,4.822163441999281e-05,2.616470287530734e-05
248,-1.0103458074984625e-06,1.2375570138005472e-05,7.38957310668174e-05,-8.495432097080366e-06,3.854958754246506e-05,4.573598316123039e-05,3.386020372098581e-05
247,2.9300028417451905e-05,-2.4751140276009224e-06,2.3966183048698026e-05,-5.9967755979393886e-06,3.3543147601885427e-05,5.8164239455043346e-05,1.3338868132508995e-05
246,-6.062074844989898e-06,2.4751140276010084e-05,6.640629886409889e-05,-9.994625996574317e-07,-4.00515195246353e-06,2.8336424349893465e-05,3.386020372098581e-05
245,2.9300028417451905e-05,-1.2375570138004613e-05,9.137107287315944e-05,8.995163396907349e-06,3.3543147601885427e-05,2.8336424349893465e-05,-2.0521335588479488e-06
244,3.182589293619762e-05,3.7126710414015555e-05,1.497886440543356e-06,-1.59914015945033e-05,1.3517387839566042e-05,8.451214279793256e-06,1.0773701183949506e-05
243,-1.616553291997277e-05,-1.980091222080824e-05,4.893095705775771e-05,-1.8490058093645147e-05,2.35302677207253e-05,4.822163441999281e-05,-4.617300507407439e-06
242,-3.889831358868511e-05,-6.682807874522749e-05,7.639220846772328e-05,-2.3487371091927106e-05,1.852382778014567e-05,-1.4913907552572785e-06,1.5904035081069376e-05
241,-4.6475907144923135e-05,-5.9402736662424717e-05,1.3980273445073633e-05,-5.347124908161971e-05,-3.6547011566232856e-05,9.942605035051397e-07,-2.2573469147324764e-05
240,-5.4053500701160294e-05,-6.435296471762657e-05,6.3909821463193e-05,-3.348199708849102e-05,1.6020607809855854e-05,3.579337812618072e-05,-7.18246745596782e-06
239,-8.688973944485638e-05,-8.910410499363665e-05,-4.343870677576426e-05,-2.5986027591068083e-05,-4.40566714771023e-05,-1.3919647049069369e-05,-9.74763440452731e-06
