0,,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
360,12.05668354,360,9.221370697,360,6.915207863,360,4.387125969,360,3.103674412,360,1.373466969,360,0.7410151958,360,0.4910292923,360,0.4761468768,360,0.5568570495,360,0.3731416762,360,0.36944139,
361.0700073,10.94570065,361.0700073,8.712413788,361.0700073,6.60938549,361.0700073,4.127270222,361.0700073,3.333272219,361.0700073,1.545915604,361.0700073,0.7459610105,361.0700073,0.5697446465,361.0700073,0.4035512507,361.0700073,0.2719661295,361.0700073,0.3246319294,361.0700073,0.3693982661,
362,10.75414085,362,8.580935478,362,6.686758041,362,4.437814236,362,2.618738174,362,1.559371591,362,0.8975838423,362,0.3142677546,362,0.4782224596,362,0.4069176018,362,0.5251692533,362,0.3425439596,
363.0700073,10.46276951,363.0700073,8.024572372,363.0700073,6.32376194,363.0700073,4.014222145,363.0700073,2.790302277,363.0700073,1.204291701,363.0700073,0.6442292929,363.0700073,0.4202242494,363.0700073,0.419271946,363.0700073,0.317004472,363.0700073,0.4364989102,363.0700073,0.3002214134,
364,9.699074745,364,7.881182194,364,6.287196159,364,3.89998126,364,2.369935513,364,1.122975707,364,0.7328550816,364,0.4556846619,364,0.2429497838,364,0.2442920208,364,0.2656496167,364,0.1888395846,
365.0700073,9.989744186,365.0700073,7.328335762,365.0700073,5.664398193,365.0700073,3.454133749,365.0700073,2.433421612,365.0700073,1.204421401,365.0700073,0.4934567809,365.0700073,0.2811674178,365.0700073,0.3200722933,365.0700073,0.2507184148,365.0700073,0.2636932135,365.0700073,0.3251597285,
366,8.99597168,366,7.584845543,366,5.314073086,366,3.470043898,366,2.221191883,366,1.039681196,366,0.5792176723,366,0.4319167733,366,0.3026348054,366,0.2673388124,366,0.19987607,366,0.3519061804,
367.0700073,8.720523834,367.0700073,6.465733528,367.0700073,5.225022793,367.0700073,3.182336092,367.0700073,1.915338159,367.0700073,0.9551456571,367.0700073,0.5647484064,367.0700073,0.2696040571,367.0700073,0.4026073813,367.0700073,0.09746208787,367.0700073,0.3444250822,367.0700073,0.1927413493,
368,8.111401558,368,6.728044987,368,5.151426315,368,3.383899689,368,1.854565024,368,1.009139299,368,0.6175460219,368,0.4179728329,368,0.2331500649,368,0.2333223075,368,0.1321877092,368,0.07884414494,
369.0700073,8.24376297,369.0700073,6.384857178,369.0700073,4.771616936,369.0700073,3.14092803,369.0700073,1.772449374,369.0700073,1.092491031,369.0700073,0.6692928672,369.0700073,0.3310742378,369.0700073,0.2785411775,369.0700073,0.2340047956,369.0700073,0.2244333029,369.0700073,0.172844246,
370,8.342658997,370,6.693858624,370,5.089253426,370,3.039339304,370,1.795511246,370,0.9099353552,370,0.652186811,370,0.401521951,370,0.2697859108,370,0.3053726256,370,0.2328514606,370,0.2110271305,
371.0700073,9.022147179,371.0700073,6.474431992,371.0700073,4.694308758,371.0700073,3.201999187,371.0700073,1.973339796,371.0700073,1.038152099,371.0700073,0.5187020898,371.0700073,0.5195531845,371.0700073,0.2020528615,371.0700073,0.1946775168,371.0700073,0.1537308544,371.0700073,0.1977144331,
372,8.303606987,372,6.61281395,372,4.604152679,372,2.942563534,372,1.848792434,372,0.6595538855,372,0.5733944774,372,0.2382417768,372,0.2536189556,372,0.1385041475,372,0.2040324211,372,0.2134637535,
373.0700073,8.264787674,373.0700073,6.454623222,373.0700073,5.215293407,373.0700073,2.826091051,373.0700073,1.791875601,373.0700073,0.9222376943,373.0700073,0.4749962091,373.0700073,0.3729658723,373.0700073,0.206980899,373.0700073,0.06091494113,373.0700073,0.2464268208,373.0700073,0.2352664471,
374,8.33528614,374,6.485057354,374,4.802226543,374,2.999652386,374,1.711105227,374,0.9115408659,374,0.4949711263,374,0.4717689157,374,0.2576962113,374,0.3186425865,374,0.168855533,374,0.09566996992,
375.0700073,8.273070335,375.0700073,6.349768162,375.0700073,4.73762989,375.0700073,3.061186314,375.0700073,1.801318407,375.0700073,0.850626111,375.0700073,0.5067995787,375.0700073,0.4814265668,375.0700073,0.1697184443,375.0700073,0.2731014788,375.0700073,0.2704791129,375.0700073,0.238820225,
376,8.286815643,376,6.18560791,376,4.598788738,376,3.230184078,376,1.655286551,376,0.943187952,376,0.5953798294,376,0.5012066364,376,0.1162115112,376,0.175387308,376,0.076751858,376,0.03963142633,
377.0700073,8.811095238,377.0700073,6.25347662,377.0700073,4.54339838,377.0700073,3.038925409,377.0700073,1.529762626,377.0700073,1.00760448,377.0700073,0.5788600445,377.0700073,0.3567740321,377.0700073,0.1820167601,377.0700073,0.1594673842,377.0700073,0.152203694,377.0700073,0.07879599184,
378,8.628448486,378,5.89891386,378,4.331022263,378,2.743325233,378,1.425140977,378,0.916661799,378,0.3652230799,378,0.6009505987,378,0.1916039139,378,0.2017674893,378,0.1352238953,378,0.1848087311,
379.0700073,8.635302544,379.0700073,6.322341919,379.0700073,4.437959671,379.0700073,2.491906166,379.0700073,1.572915912,379.0700073,0.6491079926,379.0700073,0.4051082432,379.0700073,0.5222841501,379.0700073,0.09510947019,379.0700073,0.2112337947,379.0700073,0.1389274895,379.0700073,0.136994347,
380,9.184960365,380,6.170300484,380,4.315967083,380,2.64150238,380,1.566488743,380,0.9293320179,380,0.3226786256,380,0.5608862042,380,0.1170617491,380,0.2481436878,380,0.07842829823,380,-0.01959324442,
381.0700073,9.338796616,381.0700073,6.463582516,381.0700073,4.299458027,381.0700073,2.796636581,381.0700073,1.590511918,381.0700073,0.7970191836,381.0700073,0.5239083767,381.0700073,0.598074913,381.0700073,0.1662786752,381.0700073,0.09595640004,381.0700073,0.1925928742,381.0700073,0.1345300078,
382,9.384755135,382,6.78746748,382,4.505790234,382,2.702702761,382,1.508756518,382,0.8102578521,382,0.4509184957,382,0.42817384,382,0.1516415179,382,0.1743172556,382,0.165957883,382,0.2062366009,
383.0700073,9.482363701,383.0700073,6.197293758,383.0700073,4.320044994,383.0700073,2.679672956,383.0700073,1.660571337,383.0700073,1.06233716,383.0700073,0.4137767851,383.0700073,0.3805754185,383.0700073,0.03901753575,383.0700073,0.2078373581,383.0700073,0.3623407185,383.0700073,0.118175365,
384,9.460645676,384,6.529977322,384,4.36164999,384,2.591359615,384,1.496891022,384,1.040378451,384,0.5166574121,384,0.485603869,384,0.1560062319,384,0.1924372166,384,0.1724501401,384,0.01943785697,
385.0700073,10.18794632,385.0700073,6.596565723,385.0700073,4.280769348,385.0700073,2.854877234,385.0700073,1.571423173,385.0700073,1.007892013,385.0700073,0.5,385.0700073,0.3244514763,385.0700073,0.1174053401,385.0700073,0.2362902462,385.0700073,0.2235636115,385.0700073,0.1165297404,
386,10.03436947,386,6.546810627,386,4.517517567,386,2.561645746,386,1.575161815,386,0.9813731313,386,0.5897037983,386,0.443852663,386,0.3227582574,386,0.1900093108,386,0.1371043622,386,0.01937008463,
387.0700073,10.33125305,387.0700073,6.899034023,387.0700073,4.502910137,387.0700073,2.616224289,387.0700073,1.83276999,387.0700073,1.103319287,387.0700073,0.5427092314,387.0700073,0.419044584,387.0700073,0.2003566325,387.0700073,0.4094365239,387.0700073,0.2538219988,387.0700073,0.1718803644,
388,10.47734451,388,7.135204792,388,4.529882431,388,2.744670391,388,1.781543255,388,1.092607975,388,0.5704506636,388,0.5653443933,388,0.3103602231,388,0.516341269,388,0.2163522989,388,0.2701138556,
389.0700073,11.20381927,389.0700073,7.069015026,389.0700073,4.876389027,389.0700073,2.850648403,389.0700073,1.92775774,389.0700073,1.168201923,389.0700073,0.6998165846,389.0700073,0.6536924243,389.0700073,0.2815032303,389.0700073,0.6822881699,389.0700073,0.2680246532,389.0700073,0.4085050821,
390,11.71661568,390,7.314461231,390,5.132862568,390,3.226935148,390,2.095248699,390,1.382666826,390,0.9890805483,390,0.7742784619,390,0.3760176003,390,0.5702663064,390,0.4996702075,390,0.3696174622,
391.0700073,11.69458866,391.0700073,7.933796406,391.0700073,5.349126339,391.0700073,3.406591177,391.0700073,2.451766253,391.0700073,1.607055306,391.0700073,1.135096431,391.0700073,0.8314279914,391.0700073,0.5348653197,391.0700073,0.9552029371,391.0700073,0.7458731532,391.0700073,0.7015680671,
392,12.67729568,392,8.151902199,392,5.495907784,392,3.621447802,392,2.596270561,392,1.969572186,392,1.559970021,392,1.190746188,392,1.018369079,392,1.222373366,392,1.01733458,392,0.8703392148,
393.0700073,13.31424809,393.0700073,8.34528923,393.0700073,5.795285702,393.0700073,4.34024477,393.0700073,2.974020481,393.0700073,2.519982576,393.0700073,1.705875397,393.0700073,1.46671164,393.0700073,1.183031917,393.0700073,1.334261537,393.0700073,1.308120012,393.0700073,1.1358428,
394,13.335145,394,8.778374672,394,6.422109604,394,4.526874542,394,3.309248209,394,2.731353283,394,2.276737452,394,1.545391202,394,1.52053678,394,1.504618526,394,1.34093821,394,1.332472801,
395.0700073,14.3239603,395.0700073,9.784659386,395.0700073,6.867001057,395.0700073,5.077753067,395.0700073,3.656126499,395.0700073,3.152732372,395.0700073,2.357249975,395.0700073,1.934610248,395.0700073,1.723557234,395.0700073,1.886829972,395.0700073,1.820988894,395.0700073,1.654565692,
396,15.19479275,396,10.43363571,396,7.473222256,396,5.557996273,396,3.574500561,396,3.174288273,396,2.487282991,396,2.052363873,396,1.997771621,396,1.912009358,396,1.763144374,396,1.787602067,
397.0700073,15.77454758,397.0700073,10.65314388,397.0700073,7.800222397,397.0700073,5.401606083,397.0700073,4.064962387,397.0700073,3.325347185,397.0700073,2.667189598,397.0700073,2.242990732,397.0700073,1.940106392,397.0700073,1.917470455,397.0700073,2.060386658,397.0700073,1.637778163,
398,16.66531563,398,11.40661907,398,7.781348228,398,5.313869953,398,4.549348354,398,3.622910738,398,2.629461765,398,2.531595945,398,1.972775698,398,2.060349464,398,1.943615794,398,1.542752028,
399.0700073,18.46001244,399.0700073,11.74296665,399.0700073,8.07233429,399.0700073,5.536291122,399.0700073,4.562027454,399.0700073,3.560734987,399.0700073,2.711507082,399.0700073,2.335292578,399.0700073,1.684029102,399.0700073,1.743983269,399.0700073,1.734787226,399.0700073,1.623794556,
400,18.35059929,400,12.3202486,400,8.536960602,400,5.7506423,400,4.613318443,400,3.319648743,400,2.532341242,400,2.302079678,400,1.327521324,400,1.610685468,400,1.475265384,400,1.590625405,
401.0700073,18.83463097,401.0700073,13.58111477,401.0700073,8.718902588,401.0700073,6.316628456,401.0700073,5.013010979,401.0700073,3.418077469,401.0700073,2.595262527,401.0700073,1.733375311,401.0700073,1.435248971,401.0700073,1.46517396,401.0700073,1.197901607,401.0700073,1.262246728,
402,21.36365509,402,12.81448174,402,9.260876656,402,6.444009304,402,4.830546379,402,3.737080812,402,2.760915995,402,1.748047948,402,1.283747077,402,0.8386316299,402,1.013074398,402,0.9668270946,
