0M,,1M,,2M,,3M,,4M,,5M,,2.5M,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
300,262.7798767,300,276.4776001,300,319.4171143,300,431.6665344,300,383.5610657,300,421.9242859,300,371.6063538,
300.9299927,232.4202271,300.9299927,245.8353271,300.9299927,277.7898865,300.9299927,336.7810974,300.9299927,306.7168884,300.9299927,344.8242493,300.9299927,308.7365112,
302.0299988,203.0877075,302.0299988,213.2089539,302.0299988,226.2717743,302.0299988,238.4784698,302.0299988,223.2409515,302.0299988,256.4764099,302.0299988,238.5452271,
302.9599915,180.0909882,302.9599915,190.8644867,302.9599915,189.7688141,302.9599915,168.197525,302.9599915,159.3513031,302.9599915,180.0022278,302.9599915,178.6048431,
304.0599976,166.584259,304.0599976,180.6273804,304.0599976,169.0846252,304.0599976,107.5950012,304.0599976,106.3012466,304.0599976,116.2656708,304.0599976,129.3913879,
305,167.7146301,305,183.1419067,305,162.9804382,305,82.32067108,305,79.82302094,305,85.50143433,305,108.9869232,
305.9299927,175.1768188,305.9299927,191.380249,305.9299927,165.3395691,305.9299927,67.65037537,305.9299927,66.358078,305.9299927,67.82013702,305.9299927,103.8020172,
307.0299988,195.0049438,307.0299988,212.2964783,307.0299988,176.2254181,307.0299988,65.47193909,307.0299988,62.94546127,307.0299988,63.60182953,307.0299988,103.3257065,
307.9599915,218.6694946,307.9599915,237.0871124,307.9599915,198.0287476,307.9599915,68.45707703,307.9599915,68.33428955,307.9599915,65.44582367,307.9599915,114.6386032,
309.0599976,242.2932281,309.0599976,260.3292847,309.0599976,219.413147,309.0599976,76.59388733,309.0599976,75.28829956,309.0599976,73.83268738,309.0599976,127.0709457,
310,266.9126587,310,285.2085266,310,240.9844208,310,85.93790436,310,85.19187927,310,82.17554474,310,141.980835,
310.9299927,288.3588562,310.9299927,310.3552856,310.9299927,259.0124512,310.9299927,93.88500977,310.9299927,94.38368988,310.9299927,91.48669434,310.9299927,155.1481323,
312.0299988,310.9656982,312.0299988,336.9931946,312.0299988,282.3720093,312.0299988,107.3016129,312.0299988,106.779213,312.0299988,103.3254013,312.0299988,173.8983307,
312.9599915,337.8082886,312.9599915,356.5931396,312.9599915,304.3665771,312.9599915,122.625061,312.9599915,122.0068665,312.9599915,115.0895157,312.9599915,190.9598694,
314.0599976,362.1372986,314.0599976,388.2047729,314.0599976,330.044281,314.0599976,135.0830383,314.0599976,137.4866943,314.0599976,128.3253021,314.0599976,208.213913,
315,382.089447,315,409.8275452,315,348.1983032,315,148.24263,315,147.9789429,315,142.9178009,315,224.9683838,
315.9299927,403.0678711,315.9299927,430.1974792,315.9299927,370.098175,315.9299927,160.7242584,315.9299927,163.6872864,315.9299927,158.6178436,315.9299927,240.9821625,
317.0299988,426.9768677,317.0299988,457.704834,317.0299988,387.6014099,317.0299988,176.7907104,317.0299988,179.9323273,317.0299988,175.5692291,317.0299988,258.2218018,
