rodamina_emission,,rodamina_excitation,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
530,157.6281891,400,40.55000687,
531.039978,182.5145416,401.0700073,39.92148209,
531.9400024,203.4563141,402,39.12603378,
532.9799805,235.0868378,403.0700073,38.55890274,
534.0200195,270.2746582,404,38.24154663,
535.0700073,310.4221802,405.0700073,37.55456543,
535.9699707,342.2110901,406,36.31519318,
537.0100098,386.2142639,407.0700073,35.74899292,
538.0499878,433.7747803,408,35.40793228,
538.9500122,472.537384,409.0700073,34.7649765,
540,524.7976074,410,34.40719986,
541.039978,572.7306519,411.0599976,33.46072006,
541.9400024,618.0497437,411.9599915,32.96221542,
542.9799805,666.1119385,413.0299988,32.55241776,
544.0200195,711.5136108,413.9299927,32.08281326,
545.0700073,758.5969849,415,31.63887978,
545.9699707,786.0012207,416.0599976,31.40782166,
547.0100098,836.2351685,416.9599915,31.70385551,
548.0499878,859.480896,418.0299988,31.34937668,
548.9500122,894.00354,418.9299927,30.99203491,
550,911.7269287,420,31.03527451,
551.0200195,932.9707031,421.0599976,30.94012642,
552.0499878,939.9779663,421.9599915,30.64823532,
552.9400024,942.0924072,423.0299988,31.09775734,
553.9699707,942.140686,423.9299927,31.23827934,
555,941.503479,425,31.71373558,
556.0200195,937.9315796,426.0599976,32.08061218,
557.0499878,928.2963257,426.9599915,32.81695175,
557.9400024,917.6234741,428.0299988,33.57629013,
558.9699707,897.6948242,428.9299927,33.97926712,
560,885.6400146,430,36.03359604,
561.039978,854.8851318,431.0700073,37.7625618,
561.9400024,829.9719849,432,40.15366364,
562.9799805,803.8793335,433.0700073,42.09552765,
564.0200195,786.947876,434,44.64815903,
565.0700073,764.3999634,435.0700073,47.18953705,
565.9699707,744.1516113,436,49.74426651,
567.0100098,711.0230103,437.0700073,53.57035828,
568.0499878,684.7301636,438,58.7462616,
568.9500122,662.7907104,439.0700073,63.5962944,
570,641.8427734,440,67.05880737,
571.0200195,613.657959,441.0599976,71.94059753,
572.0499878,592.8239746,441.9599915,75.34211731,
572.9400024,566.9151611,443.0299988,81.40696716,
573.9699707,549.7733154,443.9299927,86.37898254,
575,529.2283936,445,91.12628174,
576.0200195,503.5531616,446.0599976,96.24214935,
577.0499878,485.026001,446.9599915,100.7930832,
577.9400024,459.0572205,448.0299988,103.8572311,
578.9699707,446.969696,448.9299927,107.6311264,
580,436.2315979,450,112.4213333,
581.039978,411.5664978,451.0599976,118.5386124,
581.9400024,398.6967163,451.9599915,122.3125763,
582.9799805,385.8424683,453.0299988,127.8316803,
584.0200195,373.3421326,453.9299927,131.3994751,
585.0700073,358.7954102,455,137.490448,
585.9699707,347.598053,456.0599976,142.9961548,
587.0100098,336.1443787,456.9599915,148.5522919,
588.0499878,321.7686462,458.0299988,155.667923,
588.9500122,318.1504517,458.9299927,161.0928192,
590,303.4064941,460,165.1585541,
591.0200195,295.7537231,461.0400085,169.5134277,
592.0499878,283.940094,461.9400024,173.9654846,
592.9400024,276.3464355,462.980011,178.7107239,
593.9699707,268.5020447,464.019989,185.6054688,
595,260.5110779,465.0700073,195.7522888,
596.0200195,256.7528992,465.9700012,203.622406,
597.0499878,246.4573822,467.0100098,212.276062,
597.9400024,237.1741486,468.0499878,223.4550323,
598.9699707,228.1118622,468.9500122,230.6969604,
600,220.1954498,470,241.2965393,
601.0100098,215.3415527,471.0599976,253.3865051,
602.0200195,204.2918549,471.9599915,263.658905,
603.039978,200.2462921,473.0299988,279.7537842,
604.0499878,192.1291504,473.9299927,290.3268433,
605.0700073,185.0261688,475,307.8141785,
605.9400024,179.2613373,476.0599976,324.0349121,
606.9500122,171.960022,476.9599915,339.1628418,
607.9699707,165.106842,478.0299988,353.5272827,
608.9799805,159.2384491,478.9299927,372.0699463,
610,153.6318512,480,387.7615051,
611.0200195,146.5142975,481.0599976,419.8743286,
612.0499878,142.0131073,481.9599915,434.2142334,
612.9400024,135.9663086,483.0299988,455.9458923,
613.9699707,130.7915344,483.9299927,468.630249,
615,124.6758194,485,477.5511475,
616.0200195,120.3779144,486.0599976,481.8745728,
617.0499878,115.6051407,486.9599915,485.9044495,
617.9400024,110.575798,488.0299988,498.9143677,
618.9699707,105.7939758,488.9299927,512.0645142,
620,100.5297852,490,524.3662109,
621.0200195,95.18260193,491.0400085,531.9750977,
622.0499878,90.39585876,491.9400024,530.9752808,
622.9400024,87.9821701,492.980011,537.1182861,
623.9699707,83.99588013,494.019989,540.6645508,
625,80.4363327,495.0700073,546.7251587,
626.0200195,76.63407898,495.9700012,556.9837646,
627.0499878,73.15329742,497.0100098,569.5259399,
627.9400024,70.06822968,498.0499878,575.1511841,
628.9699707,66.93400574,498.9500122,581.0036011,
630,62.95661545,500,588.6818848,
631.0100098,60.9395752,501.0400085,588.5643311,
632.0200195,58.10654068,501.9400024,609.8658447,
633.039978,54.91095734,502.980011,624.7822876,
634.0499878,52.89378357,504.019989,644.2865601,
635.0700073,50.10384369,505.0700073,659.2679443,
635.9400024,47.82118607,505.9700012,680.8239136,
636.9500122,45.87933731,507.0100098,690.49823,
637.9699707,43.5982132,508.0499878,720.5473022,
638.9799805,42.20486832,508.9500122,733.4740601,
640,40.45631409,510,758.3900757,
641.0100098,38.44934082,511.0599976,770.1669312,
642.0200195,36.71626663,511.9599915,785.8404541,
643.039978,35.17996979,513.0300293,799.0654297,
644.0499878,33.92193604,513.9299927,812.0140991,
645.0700073,32.19568253,515,822.5097046,
645.9400024,30.90479469,516.0599976,855.1898193,
646.9500122,29.66319275,516.960022,870.717041,
647.9699707,28.3717041,518.0300293,888.3236084,
648.9799805,27.08008385,518.9299927,888.2167358,
650,26.03255653,520,900.5331421,
,,521.0200195,891.2113037,
,,522.0499878,898.9515381,
,,522.9400024,913.1755371,
,,523.9699707,925.9188843,
,,525,934.6824341,
,,526.0200195,939.5740356,
,,527.0499878,941.225708,
,,527.9400024,945.7739258,
,,528.9699707,931.2026978,
,,530,928.704834,
,,531.039978,927.1052856,
