Distance_(microns),Gray_Value
0.0000,49.000
0.6067,88.814
1.2133,57.485
1.8200,39.245
2.4266,34.004
3.0333,33.818
3.6399,30.528
4.2466,36.984
4.8532,57.533
5.4599,48.431
6.0665,34.190
6.6732,31.240
7.2799,31.418
7.8865,32.318
8.4932,34.326
9.0998,40.273
9.7065,45.902
10.3131,32.639
10.9198,30.757
11.5264,30.609
12.1331,30.983
12.7397,32.248
13.3464,32.760
13.9531,49.241
14.5597,32.673
15.1664,56.512
15.7730,75.834
16.3797,170.218
16.9863,140.884
17.5930,128.001
18.1996,138.636
18.8063,83.280
19.4129,151.006
20.0196,263.400
20.6262,295.266
21.2329,222.116
21.8396,144.971
22.4462,81.925
23.0529,55.245
23.6595,42.682
24.2662,60.446
24.8728,35.876
25.4795,50.492
26.0861,53.090
26.6928,54.280
27.2994,39.281
27.9061,36.196
28.5128,41.015
29.1194,31.524
29.7261,31.183
30.3327,39.587
30.9394,43.442
31.5460,39.692
32.1527,47.471
32.7593,45.845
33.3660,135.000
33.9726,50.373
34.5793,55.314
35.1860,44.536
35.7926,40.732
36.3993,44.149
37.0059,59.265
37.6126,67.233
38.2192,67.396
38.8259,44.827
39.4325,41.331
40.0392,48.280
40.6458,54.699
41.2525,58.157
41.8592,66.617
42.4658,61.959
43.0725,49.873
43.6791,125.244
44.2858,140.953
44.8924,186.348
45.4991,229.579
46.1057,329.434
46.7124,320.280
47.3190,358.397
47.9257,172.170
48.5324,81.314
49.1390,82.229
49.7457,83.118
50.3523,56.107
50.9590,40.771
51.5656,32.694
52.1723,35.096
52.7789,40.710
53.3856,59.280
53.9922,38.139
54.5989,35.678
55.2056,35.071
55.8122,32.779
56.4189,32.071
57.0255,39.364
57.6322,33.231
58.2388,31.218
58.8455,44.745
59.4521,30.737
60.0588,32.920
60.6654,32.107
61.2721,37.646
61.8787,31.253
62.4854,36.831
63.0921,33.888
63.6987,31.661
64.3054,31.371
64.9120,37.845
65.5187,30.986
66.1253,32.377
66.7320,32.000
