Distance_(microns),Gray_Value
0.0000,1281.000
0.6067,1232.792
1.2133,1136.669
1.8200,1085.422
2.4266,1123.048
3.0333,1144.367
3.6399,1180.181
4.2466,1220.771
4.8532,1229.639
5.4599,1322.214
6.0665,1366.970
6.6732,1407.783
7.2799,1665.157
7.8865,1917.265
8.4932,1938.831
9.0998,1809.831
9.7065,1762.211
10.3131,1434.021
10.9198,1286.446
11.5264,1186.217
12.1331,1160.928
12.7397,1222.765
13.3464,1187.325
13.9531,1224.434
14.5597,1277.693
15.1664,1202.259
15.7730,1064.789
16.3797,979.199
16.9863,962.012
17.5930,1231.699
18.1996,1346.759
18.8063,1340.795
19.4129,1549.608
20.0196,1523.985
20.6262,1631.036
21.2329,1578.666
21.8396,1595.548
22.4462,1406.006
23.0529,1272.548
23.6595,1555.642
24.2662,1734.512
24.8728,1769.783
25.4795,1750.090
26.0861,1725.087
26.6928,1714.223
27.2994,1688.081
27.9061,1642.855
28.5128,1617.889
29.1194,1590.042
29.7261,1528.696
30.3327,1449.349
30.9394,1355.223
31.5460,1254.452
32.1527,1178.934
32.7593,1121.729
33.3660,1130.413
33.9726,1098.108
34.5793,997.846
35.1860,905.777
35.7926,964.373
36.3993,1053.825
37.0059,1136.958
37.6126,1427.428
38.2192,1705.027
38.8259,1491.169
39.4325,1262.151
40.0392,1285.916
40.6458,1274.385
41.2525,1153.946
41.8592,1155.608
42.4658,1202.524
43.0725,1559.392
43.6791,1922.115
44.2858,1920.867
44.8924,1788.898
45.4991,1705.009
46.1057,1687.253
46.7124,1682.226
47.3190,1642.102
47.9257,1604.115
48.5324,1579.145
49.1390,1517.428
49.7457,1453.253
50.3523,1425.500
