Distance_(microns),Gray_Value
0.0000,36.667
0.6067,31.509
1.2133,33.759
1.8200,48.723
2.4266,34.409
3.0333,65.187
3.6399,41.521
4.2466,52.316
4.8532,44.239
5.4599,32.906
6.0665,40.397
6.6732,89.405
7.2799,150.957
7.8865,60.054
8.4932,146.894
9.0998,380.349
9.7065,536.912
10.3131,901.476
10.9198,1099.351
11.5264,1159.263
12.1331,1087.623
12.7397,639.667
13.3464,166.496
13.9531,97.721
14.5597,49.258
15.1664,59.259
15.7730,38.863
16.3797,41.502
16.9863,80.424
17.5930,69.956
18.1996,38.816
18.8063,100.464
19.4129,51.907
20.0196,33.480
20.6262,84.766
21.2329,74.689
21.8396,157.618
22.4462,176.349
23.0529,260.456
23.6595,385.352
24.2662,298.285
24.8728,275.578
25.4795,217.437
26.0861,154.852
26.6928,137.667
27.2994,88.939
27.9061,148.853
28.5128,91.990
29.1194,185.389
29.7261,171.674
30.3327,280.079
30.9394,332.191
31.5460,450.720
32.1527,548.394
32.7593,480.050
33.3660,471.750
33.9726,421.265
34.5793,341.692
35.1860,498.826
35.7926,970.648
36.3993,1068.053
37.0059,1019.998
37.6126,839.436
38.2192,402.859
38.8259,167.245
39.4325,55.474
40.0392,31.909
40.6458,54.871
41.2525,34.644
41.8592,32.775
42.4658,59.058
43.0725,77.525
43.6791,38.906
44.2858,31.472
44.8924,32.290
45.4991,47.075
46.1057,35.043
46.7124,30.750
