Distance_(microns),Gray_Value
0.0000,30.000
0.6068,31.433
1.2135,32.170
1.8203,29.960
2.4270,34.221
3.0338,30.296
3.6406,32.425
4.2473,35.096
4.8541,30.128
5.4608,29.283
6.0676,30.000
6.6743,36.879
7.2811,69.281
7.8879,30.945
8.4946,30.034
9.1014,38.540
9.7081,38.031
10.3149,43.229
10.9217,33.277
11.5284,32.760
12.1352,36.594
12.7419,42.667
13.3487,70.081
13.9555,123.991
14.5622,342.738
15.1690,443.740
15.7757,307.429
16.3825,197.600
16.9892,188.622
17.5960,99.930
18.2028,59.507
18.8095,62.045
19.4163,86.263
20.0230,98.255
20.6298,94.231
21.2366,99.876
21.8433,102.783
22.4501,82.080
23.0568,63.914
23.6636,275.408
24.2703,460.590
24.8771,360.414
25.4839,245.490
26.0906,140.145
26.6974,63.888
27.3041,38.861
27.9109,40.424
28.5177,37.510
29.1244,51.329
29.7312,31.016
30.3379,30.061
30.9447,29.956
31.5515,48.839
32.1582,37.140
32.7650,31.776
33.3717,30.158
33.9785,30.000
34.5852,29.945
35.1920,29.742
35.7988,29.992
36.4055,30.141
37.0123,30.426
37.6190,31.610
38.2258,30.017
38.8326,30.575
39.4393,35.512
40.0461,30.541
40.6528,30.928
41.2596,33.922
41.8664,42.180
42.4731,38.124
43.0799,31.588
43.6866,30.650
44.2934,35.024
44.9001,38.091
45.5069,33.386
46.1137,34.640
46.7204,30.026
47.3272,30.418
47.9339,32.960
48.5407,31.194
49.1475,32.569
49.7542,32.803
50.3610,48.339
50.9677,59.868
51.5745,75.687
52.1812,189.169
52.7880,312.608
53.3948,389.636
54.0015,251.016
54.6083,125.211
55.2150,73.625
55.8218,64.975
56.4286,43.441
57.0353,38.010
57.6421,47.683
58.2488,52.432
58.8556,43.717
59.4624,30.244
60.0691,35.930
60.6759,30.577
61.2826,39.081
61.8894,40.256
62.4961,32.911
63.1029,35.690
63.7097,39.442
64.3164,37.019
64.9232,32.570
65.5299,30.538
66.1367,32.537
66.7435,41.356
67.3502,30.345
67.9570,31.601
68.5637,44.000
