Distance_(microns),Gray_Value
0.0000,215.000
0.6067,259.352
1.2133,236.381
1.8200,220.591
2.4266,461.137
3.0333,734.849
3.6399,782.406
4.2466,450.291
4.8532,403.340
5.4599,569.919
6.0665,551.008
6.6732,733.040
7.2799,715.138
7.8865,1054.971
8.4932,1494.058
9.0998,2158.295
9.7065,3095.618
10.3131,2876.916
10.9198,1667.200
11.5264,1622.042
12.1331,1074.152
12.7397,1311.209
13.3464,1500.298
13.9531,1162.824
14.5597,1119.839
15.1664,1118.000
15.7730,1053.191
16.3797,874.516
16.9863,634.459
17.5930,621.108
18.1996,1006.356
18.8063,381.705
19.4129,553.518
20.0196,600.125
20.6262,515.428
21.2329,567.628
21.8396,625.675
22.4462,511.480
23.0529,405.546
23.6595,426.981
24.2662,372.436
24.8728,542.485
25.4795,367.452
26.0861,745.105
26.6928,1031.959
27.2994,980.612
27.9061,840.096
28.5128,833.635
29.1194,642.340
29.7261,1150.396
30.3327,1611.405
30.9394,1193.018
31.5460,993.111
32.1527,1022.804
32.7593,1109.622
33.3660,856.708
33.9726,695.470
34.5793,1152.328
35.1860,1461.867
35.7926,2360.579
36.3993,2513.614
37.0059,1438.881
37.6126,975.051
38.2192,400.431
38.8259,456.334
39.4325,551.992
40.0392,753.990
40.6458,776.887
41.2525,549.728
41.8592,454.527
42.4658,370.580
43.0725,197.527
43.6791,105.466
44.2858,99.080
44.8924,88.537
45.4991,105.664
46.1057,142.967
46.7124,268.241
47.3190,88.932
47.9257,155.000
